-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
November,7,749,895,993,54.6,1.01,1.23,1.38,0.09,1.16,1.47,1.65,0.10
November,8,720,835,962,56.8,0.93,1.14,1.32,0.09,1.12,1.36,1.56,0.09
November,9,708,818,937,49.8,0.96,1.12,1.30,0.07,1.11,1.34,1.53,0.08
November,10,722,818,917,39.5,0.98,1.13,1.28,0.06,1.14,1.34,1.50,0.07
November,11,727,825,915,36.2,0.97,1.14,1.29,0.06,1.16,1.36,1.51,0.07
November,12,744,836,923,36.4,0.98,1.16,1.30,0.07,1.18,1.38,1.52,0.07
November,13,752,851,932,38.0,1.01,1.18,1.30,0.07,1.20,1.41,1.53,0.07
November,14,768,863,938,39.2,1.02,1.20,1.32,0.07,1.23,1.43,1.55,0.07
November,15,775,871,948,41.8,1.05,1.21,1.36,0.08,1.25,1.44,1.56,0.08
November,16,779,873,981,42.4,1.08,1.21,1.38,0.08,1.25,1.44,1.60,0.08
November,17,770,850,967,41.8,1.05,1.16,1.30,0.07,1.21,1.39,1.53,0.07
November,18,743,814,932,40.5,0.98,1.10,1.25,0.07,1.15,1.32,1.47,0.07
November,19,709,795,910,36.9,0.92,1.08,1.20,0.06,1.13,1.29,1.43,0.07
November,20,682,800,920,41.9,0.92,1.10,1.23,0.06,1.07,1.31,1.46,0.08
November,21,682,818,930,44.3,0.94,1.13,1.26,0.06,1.08,1.34,1.48,0.08
November,22,692,846,948,45.5,0.96,1.18,1.32,0.07,1.10,1.40,1.54,0.09
November,23,718,892,974,51.8,0.99,1.25,1.39,0.08,1.14,1.48,1.63,0.10
November,24,782,948,"1,039",51.9,1.10,1.34,1.47,0.08,1.25,1.58,1.74,0.10
December,Monthly Average,761,948,"1,247",103.7,0.97,1.31,1.71,0.17,1.21,1.57,2.14,0.20
December,1,976,"1,074","1,153",48.7,1.26,1.52,1.62,0.08,1.58,1.81,1.96,0.11
December,2,"1,017","1,113","1,202",51.0,1.29,1.57,1.68,0.08,1.63,1.88,2.05,0.12
December,3,"1,024","1,126","1,238",54.7,1.30,1.59,1.71,0.08,1.63,1.90,2.13,0.13
December,4,"1,025","1,123","1,247",55.1,1.28,1.58,1.69,0.09,1.63,1.89,2.14,0.13
December,5,"1,013","1,097","1,228",51.7,1.26,1.53,1.67,0.09,1.63,1.84,2.10,0.12
December,6,970,"1,038","1,149",49.2,1.18,1.43,1.57,0.08,1.54,1.72,1.96,0.11
December,7,882,969,"1,071",53.4,1.07,1.31,1.46,0.08,1.43,1.59,1.78,0.11
December,8,820,899,"1,028",54.8,0.99,1.21,1.38,0.08,1.33,1.47,1.69,0.10
December,9,806,874,"1,005",48.8,0.97,1.18,1.34,0.08,1.30,1.43,1.66,0.09
December,10,804,872,991,43.4,0.99,1.18,1.34,0.07,1.30,1.44,1.65,0.08
December,11,806,876,982,40.0,1.00,1.20,1.33,0.07,1.32,1.45,1.64,0.08
December,12,826,891,990,38.5,1.03,1.22,1.36,0.07,1.34,1.48,1.66,0.08
December,13,849,905,998,37.7,1.05,1.25,1.38,0.07,1.38,1.51,1.68,0.08
December,14,852,914,"1,008",40.0,1.07,1.26,1.39,0.07,1.36,1.52,1.70,0.09
December,15,853,922,"1,015",40.3,1.09,1.27,1.40,0.07,1.38,1.53,1.71,0.09
December,16,863,919,"1,018",37.7,1.10,1.26,1.41,0.07,1.35,1.52,1.72,0.08
December,17,843,893,"1,007",39.3,1.06,1.20,1.36,0.06,1.32,1.46,1.67,0.08
December,18,791,855,945,37.9,1.01,1.13,1.26,0.06,1.25,1.39,1.56,0.08
December,19,761,839,891,33.5,1.01,1.12,1.22,0.05,1.21,1.37,1.48,0.07
December,20,776,849,900,33.6,1.03,1.15,1.23,0.05,1.22,1.39,1.50,0.08
December,21,776,867,916,35.6,1.05,1.18,1.27,0.05,1.24,1.43,1.54,0.08
December,22,796,892,950,39.2,1.05,1.23,1.34,0.06,1.28,1.48,1.62,0.09
December,23,846,939,"1,012",44.0,1.14,1.31,1.43,0.06,1.35,1.57,1.73,0.10
December,24,898,"1,015","1,091",48.6,1.20,1.43,1.51,0.07,1.44,1.71,1.86,0.11
-,Annual Average,539,871,"1,341",126.6,0.72,1.23,1.95,0.19,0.99,1.49,2.34,0.20
